"filename", "language", "Python", "SQL", "Markdown", "comment", "blank", "total"
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\README.md", "Markdown", 0, 0, 2, 0, 1, 3
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\airplane.py", "Python", 28, 0, 0, 9, 5, 42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\carrier_handler.py", "Python", 33, 0, 0, 6, 8, 47
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\config.py", "Python", 23, 0, 0, 3, 4, 30
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\db_handler.py", "Python", 66, 0, 0, 10, 14, 90
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\gui_handler.py", "Python", 132, 0, 0, 6, 15, 153
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\main.py", "Python", 48, 0, 0, 30, 13, 91
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\playground.py", "Python", 77, 0, 0, 0, 16, 93
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\playground.sql", "SQL", 0, 20, 0, 0, 2, 22
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\playground2.py", "Python", 58, 0, 0, 14, 20, 92
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backup\route_handler.py", "Python", 115, 0, 0, 13, 17, 145
"Total", "-", 580, 20, 2, 91, 115, 808
