Date : 2023-03-30 11:10:16
Directory : c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src
Total : 74 files,  -1175 codes, -4 comments, 61 blanks, all -1118 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         30 |        554 |         -8 |         31 |        577 |
| CSS                |         17 |        215 |          0 |         29 |        244 |
| TypeScript         |         15 |        198 |          4 |         15 |        217 |
| XML                |          3 |         -1 |          0 |          0 |         -1 |
| JavaScript         |          1 |         -6 |          0 |         -3 |         -9 |
| toml               |          1 |         -9 |          0 |         -4 |        -13 |
| JSON with Comments |          1 |        -21 |          0 |         -1 |        -22 |
| HTML               |          2 |        -38 |          0 |         -2 |        -40 |
| JSON               |          4 |     -2,067 |          0 |         -4 |     -2,071 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         35 |      1,515 |         18 |        182 |      1,715 |
| . (Files)                                                                                       |          5 |         80 |          1 |         16 |         97 |
| Map                                                                                             |          5 |        458 |         11 |         50 |        519 |
| assets                                                                                          |          2 |          6 |          0 |          2 |          8 |
| components                                                                                      |         19 |        876 |          2 |        103 |        981 |
| components (Files)                                                                              |          2 |         45 |          0 |          9 |         54 |
| components\Alert                                                                                |          2 |         53 |          0 |         12 |         65 |
| components\Button                                                                               |          2 |         83 |          0 |         14 |         97 |
| components\Like                                                                                 |          1 |         19 |          0 |          2 |         21 |
| components\ListGroup                                                                            |          3 |         38 |          0 |          9 |         47 |
| components\Modal                                                                                |          7 |        536 |          1 |         47 |        584 |
| components\Modal (Files)                                                                        |          3 |        384 |          0 |         28 |        412 |
| components\Modal\FuelView                                                                       |          2 |         81 |          0 |         11 |         92 |
| components\Modal\ShopView                                                                       |          2 |         71 |          1 |          8 |         80 |
| components\NavBar                                                                               |          2 |        102 |          1 |         10 |        113 |
| types                                                                                           |          4 |         95 |          4 |         11 |        110 |
| x:\                                                                                             |         39 |     -2,690 |        -22 |       -121 |     -2,833 |
| x:\Dev                                                                                          |         39 |     -2,690 |        -22 |       -121 |     -2,833 |
| x:\Dev\Koulu                                                                                    |         39 |     -2,690 |        -22 |       -121 |     -2,833 |
| x:\Dev\Koulu\Web                                                                                |         39 |     -2,690 |        -22 |       -121 |     -2,833 |
| x:\Dev\Koulu\Web\frontend                                                                       |         39 |     -2,690 |        -22 |       -121 |     -2,833 |
| x:\Dev\Koulu\Web\frontend (Files)                                                               |          9 |     -2,140 |         -1 |        -13 |     -2,154 |
| x:\Dev\Koulu\Web\frontend\public                                                                |          1 |         -1 |          0 |          0 |         -1 |
| x:\Dev\Koulu\Web\frontend\src                                                                   |         29 |       -549 |        -21 |       -108 |       -678 |
| x:\Dev\Koulu\Web\frontend\src (Files)                                                           |          6 |        -81 |         -1 |        -17 |        -99 |
| x:\Dev\Koulu\Web\frontend\src\Map                                                               |          6 |       -209 |        -19 |        -40 |       -268 |
| x:\Dev\Koulu\Web\frontend\src\assets                                                            |          2 |         -6 |          0 |         -2 |         -8 |
| x:\Dev\Koulu\Web\frontend\src\components                                                        |         14 |       -241 |         -1 |        -47 |       -289 |
| x:\Dev\Koulu\Web\frontend\src\components (Files)                                                |          4 |        -66 |          0 |        -15 |        -81 |
