"filename", "language", "Python", "comment", "blank", "total"
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\airplane.py", "Python", 29, 9, 5, 43
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\carrier_handler.py", "Python", 44, 6, 8, 58
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\config.py", "Python", 71, 2, 7, 80
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\db_handler.py", "Python", 109, 14, 30, 153
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\gui_handler.py", "Python", 132, 6, 15, 153
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\main.py", "Python", 51, 30, 13, 94
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\observer.py", "Python", 20, 4, 3, 27
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\route_handler.py", "Python", 105, 13, 16, 134
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\backend\routes.py", "Python", 168, 6, 21, 195
"Total", "-", 729, 90, 118, 937
