"filename", "language", "HTML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "XML", "toml", "TypeScript JSX", "CSS", "comment", "blank", "total"
"x:\Dev\Koulu\Web\frontend\Pipfile", "toml", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"x:\Dev\Koulu\Web\frontend\Pipfile.lock", "JSON", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 1, 126
"x:\Dev\Koulu\Web\frontend\ava.config.cjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"x:\Dev\Koulu\Web\frontend\index.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"x:\Dev\Koulu\Web\frontend\jest.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"x:\Dev\Koulu\Web\frontend\package-lock.json", "JSON", 0, 0, 6711, 0, 0, 0, 0, 0, 0, 0, 1, 6712
"x:\Dev\Koulu\Web\frontend\package.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"x:\Dev\Koulu\Web\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"x:\Dev\Koulu\Web\frontend\src\Map\App.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"x:\Dev\Koulu\Web\frontend\src\Map\Map.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 3, 42
"x:\Dev\Koulu\Web\frontend\src\Map\Map.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 5, 8, 44
"x:\Dev\Koulu\Web\frontend\src\Map\Map.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 264, 0, 3, 23, 290
"x:\Dev\Koulu\Web\frontend\src\Map\api.ts", "TypeScript", 0, 0, 0, 146, 0, 0, 0, 0, 0, 4, 14, 164
"x:\Dev\Koulu\Web\frontend\src\assets\message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"x:\Dev\Koulu\Web\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"x:\Dev\Koulu\Web\frontend\src\components\Alert\Alert.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 23
"x:\Dev\Koulu\Web\frontend\src\components\Alert\Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
