"filename", "language", "HTML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "XML", "toml", "comment", "blank", "total"
"x:\Dev\Koulu\Web\frontend\Pipfile", "toml", 0, 0, 0, 0, 0, 0, -9, 0, -4, -13
"x:\Dev\Koulu\Web\frontend\Pipfile.lock", "JSON", 0, 0, -125, 0, 0, 0, 0, 0, -1, -126
"x:\Dev\Koulu\Web\frontend\ava.config.cjs", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, -1, -7
"x:\Dev\Koulu\Web\frontend\index.html", "HTML", -22, 0, 0, 0, 0, 0, 0, -4, -3, -29
"x:\Dev\Koulu\Web\frontend\jest.config.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, -1, -6
"x:\Dev\Koulu\Web\frontend\package-lock.json", "JSON", 0, 0, -6711, 0, 0, 0, 0, 0, -1, -6712
"x:\Dev\Koulu\Web\frontend\package.json", "JSON", 0, 0, -46, 0, 0, 0, 0, 0, -1, -47
"x:\Dev\Koulu\Web\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"x:\Dev\Koulu\Web\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, -21, 0, 0, 0, -1, -22
"x:\Dev\Koulu\Web\frontend\tsconfig.node.json", "JSON", 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"x:\Dev\Koulu\Web\frontend\vite.config.ts", "TypeScript", 0, 0, 0, -5, 0, 0, 0, -1, -2, -8
"x:\Dev\Koulu\Web\frontend\vite.config.ts.timestamp-1679413222452.mjs", "JavaScript", 0, -8, 0, 0, 0, 0, 0, -2, -1, -11
"Total", "-", -22, -19, -6891, -5, -21, -1, -9, -7, -17, -6992
