"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "Python", "comment", "blank", "total"
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\App.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Map.css", "CSS", 0, 0, 39, 0, 0, 0, 3, 42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Map.test.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 5, 8, 44
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Map.tsx", "TypeScript JSX", 0, 283, 0, 0, 0, 3, 22, 308
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\api.ts", "TypeScript", 220, 0, 0, 0, 0, 5, 21, 246
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\assets\message.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Alert\Alert.css", "CSS", 0, 0, 20, 0, 0, 0, 3, 23
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Alert\Alert.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 9, 42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Button\Button.module.css", "CSS", 0, 0, 68, 0, 0, 0, 10, 78
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Button\Button.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Like\Like.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Login\Input.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 4, 25
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Login\Login.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 6, 39
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FlyView\FlyView.css", "CSS", 0, 0, 9, 0, 0, 1, 2, 12
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FlyView\Flyview.tsx", "TypeScript JSX", 0, 163, 0, 0, 0, 0, 10, 173
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.css", "CSS", 0, 0, 18, 0, 0, 0, 4, 22
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 7, 81
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.css", "CSS", 0, 0, 79, 0, 0, 0, 13, 92
